Année;DIE/PIB;Dépense;;
1980;6,4;74,4;;
1981;6,6;77,0;;
1982;6,8;81,1;;
1983;6,7;81,7;;
1984;6,8;83,3;;
1985;6,8;85,3;;
1986;6,7;85,4;;
1987;6,6;86,3;;
1988;6,5;88,9;;
1989;6,5;92,3;;
1990;6,6;96,6;;
1991;6,9;101,9;;
1992;7,3;109,5;;
1993;7,6;112,8;;
1994;7,6;115,7;;
1995;7,6;119,0;;
1996;7,6;120,4;;
1997;7,6;122,5;;
1998;7,5;125,2;;
1999;7,5;128,2;;
2000;7,3;129,9;;
2001;7,2;130,3;;
2002;7,2;131,6;;
2003;7,1;131,6;;
2004;7,0;132,3;;
2005;6,8;132,0;;
2006;6,8;135,4;;
2007;6,7;135,3;;
2008;6,7;135,7;;
2009;7,0;137,6;;
2010;7,0;140,0;;
2011;6,8;139,0;;
2012;6,9;139,4;;
